,title,url,thumbnail_url,duration,channel_name,views,uploaded,description
0,Adipurush (Final Trailer) Telugu Prabhas | Kriti Sanon | Saif Ali Khan | Om Raut | Bhushan Kumar,https://www.youtube.com/watch?v=qkD5juVLDgM,https://i.ytimg.com/vi/qkD5juVLDgM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyfAkVtJbzRX7XOURB1gd-j-zI3Q,2:24,T-Series Telugu,4.1M views,14 hours ago,"#ADIPURUSH #jaishriram CELEBRATING VICTORY OF GOOD OVER EVIL Gulshan Kumar and T-Series present, A T-Series Films and Retrophiles production Starring Prabhas, Saif Ali Khan,Kriti Sanon,..."
1,Shaitan Trailer | Mahi V Raghav | Premieres June 15 | Disney Plus Hotstar Telugu,https://www.youtube.com/watch?v=XP6-yZoDQio,,,Disney+ HotstarTelugu,1M views,2 days ago,"Knock, knock, let the DEVIL in! 👿🔥 Trailer out now ▶️ Bloodbath begins from June 15, with #ShaitanOnHotstar! Only on @disneyplushotstartelugu. CREW ..."
